chestcircumference,biacromialbreadth,weightkg,stature,t-shirt size
1219,449,1024,1890,2XL
1006,409,774,1737,M
1116,427,891,1856,XL
1145,432,953,1772,XL
1143,436,1134,1924,XL
1108,420,924,1852,L
1133,434,975,1833,XL
991,398,826,1733,M
1153,432,1112,1745,XL
1062,424,808,1700,L
1053,422,811,1689,L
1069,412,962,1803,L
1147,427,1003,1817,XL
1046,399,773,1709,M
1006,414,782,1802,M
1064,423,956,1837,L
897,387,660,1771,XS
1159,435,1107,1849,XL
1068,422,935,1735,L
1031,420,848,1807,M
1116,417,963,1791,L
1063,421,1026,1862,L
1093,429,889,1725,L
1026,417,771,1657,M
1213,436,1163,1869,2XL
1255,478,1325,1928,3XL
1193,441,1048,1831,2XL
1026,408,824,1758,M
943,394,650,1721,S
848,355,540,1700,XS
1114,432,1044,1839,XL
774,337,393,1600,XS
1113,413,897,1771,L
1182,450,1258,1859,2XL
1052,427,819,1790,L
1089,420,852,1773,L
944,394,655,1765,S
1033,418,861,1810,M
1174,435,1019,1814,XL
1056,403,795,1772,M
1089,420,867,1839,L
1083,412,991,1880,L
1055,416,828,1785,L
1086,410,840,1794,L
971,394,708,1699,S
980,404,703,1768,S
1119,422,902,1712,L
1104,422,912,1746,L
1084,411,864,1776,L
926,399,558,1658,S
1058,433,934,1787,L
1042,403,857,1653,M
1118,416,883,1759,L
1197,448,958,1712,2XL
977,407,742,1736,S
1026,411,799,1720,M
1195,436,1099,1786,2XL
1093,417,873,1711,L
1106,416,983,1736,L
922,389,638,1736,S
991,390,773,1736,S
1154,441,980,1774,XL
1001,415,796,1750,M
1056,414,790,1703,L
865,367,591,1679,XS
1051,411,878,1812,L
958,393,689,1714,S
1117,420,898,1800,L
1182,443,949,1799,2XL
1170,424,1059,1775,XL
917,384,557,1650,S
1116,425,956,1691,XL
1157,434,875,1758,XL
1173,430,1046,1844,XL
1057,412,784,1745,L
1223,442,1036,1768,2XL
1092,424,857,1818,L
1090,419,871,1724,L
1022,412,735,1722,M
1035,403,783,1761,M
973,384,642,1693,S
1020,400,824,1686,M
992,380,690,1683,S
1040,420,769,1688,M
1079,412,881,1764,L
1064,421,862,1802,L
1123,430,1102,1841,XL
