chestcircumference,biacromialbreadth,weightkg,stature,t-shirt size
970,379,749,1658,L
872,354,588,1638,S
1003,368,876,1751,L
857,354,597,1587,S
891,365,582,1588,M
843,355,489,1548,S
976,378,795,1718,L
885,365,600,1519,M
820,339,475,1529,S
909,367,735,1585,M
925,354,562,1610,M
852,333,523,1644,S
1023,383,756,1679,XL
912,367,674,1743,M
893,355,636,1675,M
951,366,641,1637,L
1004,362,793,1645,L
823,332,464,1471,S
901,363,593,1753,M
942,377,669,1759,L
920,370,609,1605,M
943,350,687,1530,M
826,296,452,1524,XS
1055,382,835,1683,XL
901,358,641,1577,M
1015,394,779,1651,XL
883,340,626,1596,S
1050,378,713,1600,XL
872,358,528,1557,S
896,351,552,1565,M
996,361,748,1614,L
958,361,692,1768,L
973,363,635,1578,L
917,354,704,1619,M
946,371,668,1681,L
973,378,695,1609,L
990,370,773,1625,L
984,381,717,1720,L
1203,410,1072,1770,3XL
1140,413,897,1616,3XL
870,350,497,1572,S
1049,379,696,1652,XL
952,365,734,1654,L
930,356,676,1749,M
952,381,665,1587,L
1091,385,792,1606,2XL
1060,393,865,1739,2XL
943,368,845,1678,L
974,362,631,1545,L
1113,390,898,1809,2XL
1090,401,970,1764,2XL
940,371,663,1606,L
952,372,594,1567,L
1059,376,657,1594,XL
837,345,520,1573,S
973,371,924,1749,L
925,362,678,1674,M
1030,378,687,1704,XL
994,360,699,1604,L
931,360,558,1594,M
1016,378,717,1613,XL
902,361,610,1641,M
